bus_id ,stage_index ,value
     1 ,          1 ,67792.0
     1 ,          2 ,69854.0
     1 ,          3 ,69876.0
     1 ,          4 ,67599.0
     1 ,          5 ,65754.0
     1 ,          6 ,65009.0
     1 ,          7 ,65053.0
     1 ,          8 ,66491.0
     1 ,          9 ,67054.0
     1 ,         10 ,67924.0
     1 ,         11 ,67740.0
     1 ,         12 ,67166.0
     1 ,         13 ,67792.0
     1 ,         14 ,69854.0
     1 ,         15 ,69876.0
     1 ,         16 ,67599.0
     1 ,         17 ,65754.0
     1 ,         18 ,65009.0
     1 ,         19 ,65053.0
     1 ,         20 ,66491.0
     1 ,         21 ,67054.0
     1 ,         22 ,67924.0
     1 ,         23 ,67740.0
     1 ,         24 ,67166.0
     1 ,         25 ,69876.0
     1 ,         26 ,67599.0
     1 ,         27 ,65754.0
     1 ,         28 ,65009.0
     1 ,         29 ,65053.0
     1 ,         30 ,67924.0
     1 ,         31 ,67740.0
     1 ,         32 ,67166.0
     1 ,         33 ,67792.0
     1 ,         34 ,69854.0
     1 ,         35 ,69876.0
     1 ,         36 ,67599.0
     1 ,         37 ,65754.0
     1 ,         38 ,65009.0
     1 ,         39 ,65053.0
     1 ,         40 ,67924.0
     1 ,         41 ,67740.0
     1 ,         42 ,67166.0
     1 ,         43 ,67792.0
     1 ,         44 ,69854.0
     1 ,         45 ,69876.0
     1 ,         46 ,67599.0
     1 ,         47 ,65754.0
     1 ,         48 ,65009.0
     1 ,         49 ,65053.0
     1 ,         50 ,67924.0
     1 ,         51 ,67740.0
     1 ,         52 ,67166.0
     1 ,         53 ,67792.0
     1 ,         54 ,69854.0
     1 ,         55 ,69876.0
     1 ,         56 ,67599.0
     1 ,         57 ,65754.0
     1 ,         58 ,65009.0
     1 ,         59 ,65053.0
     1 ,         60 ,67924.0
     1 ,         61 ,67740.0
     1 ,         62 ,67166.0
     1 ,         63 ,67792.0
     1 ,         64 ,69854.0
     1 ,         65 ,69876.0
     1 ,         66 ,67599.0
     1 ,         67 ,65754.0
     1 ,         68 ,65009.0
     1 ,         69 ,65053.0
     1 ,         70 ,67924.0
     1 ,         71 ,67740.0
     1 ,         72 ,67166.0
     1 ,         73 ,67792.0
     1 ,         74 ,69854.0
     1 ,         75 ,69876.0
     1 ,         76 ,67599.0
     1 ,         77 ,65754.0
     1 ,         78 ,65009.0
     1 ,         79 ,65053.0
     1 ,         80 ,67924.0
     1 ,         81 ,67740.0
     1 ,         82 ,67166.0
     1 ,         83 ,67792.0
     1 ,         84 ,69854.0
     1 ,         85 ,69876.0
     1 ,         86 ,67599.0
     1 ,         87 ,65754.0
     1 ,         88 ,65009.0
     1 ,         89 ,65053.0
     1 ,         90 ,67924.0
     1 ,         91 ,67740.0
     1 ,         92 ,67166.0
     1 ,         93 ,67792.0
     1 ,         94 ,69854.0
     1 ,         95 ,69876.0
     1 ,         96 ,67599.0
     1 ,         97 ,65754.0
     1 ,         98 ,65009.0
     1 ,         99 ,65053.0
     1 ,        100 ,67924.0
     1 ,        101 ,67740.0
     1 ,        102 ,67166.0
     1 ,        103 ,67792.0
     1 ,        104 ,69854.0
     1 ,        105 ,69876.0
     1 ,        106 ,67599.0
     1 ,        107 ,65754.0
     1 ,        108 ,65009.0
     1 ,        109 ,65053.0
     1 ,        110 ,67924.0
     1 ,        111 ,67740.0
     1 ,        112 ,67166.0
     1 ,        113 ,67792.0
     1 ,        114 ,69854.0
     1 ,        115 ,69876.0
     1 ,        116 ,67599.0
     1 ,        117 ,65754.0
     1 ,        118 ,65009.0
     1 ,        119 ,65053.0
     1 ,        120 ,67924.0
