id  ,name   ,bus_id ,min_generation ,max_generation ,cost
  1 ,UTE1   ,     1 ,           0.0 ,         640.0 ,  23.21
  2 ,UTE2   ,     1 ,           0.0 ,         131.0 , 645.3
  3 ,UTE4   ,     1 ,           0.0 ,         436.0 , 310.41
  4 ,UTE7   ,     1 ,           0.0 ,          36.0 , 937.0
  5 ,UTE9   ,     1 ,           0.0 ,          30.0 , 523.35
  6 ,UTE12  ,     1 ,           0.0 ,         529.0 , 511.77
  7 ,UTE13  ,     1 ,           0.0 ,        1350.0 ,  20.12
  8 ,UTE15  ,     1 ,           0.0 ,         204.0 , 216.1
  9 ,UTE19  ,     1 ,           0.0 ,          10.0 ,1047.38
 10 ,UTE21  ,     1 ,           0.0 ,         338.0 , 131.44
 11 ,UTE22  ,     1 ,           0.0 ,         126.0 , 115.9
 12 ,UTE23  ,     1 ,           0.0 ,         320.0 , 115.9
 13 ,UTE24  ,     1 ,           0.0 ,         363.0 , 145.71
 14 ,UTE25  ,     1 ,           0.0 ,         262.0 , 176.67
 15 ,UTE26  ,     1 ,           0.0 ,         100.0 , 234.31
 16 ,UTE27  ,     1 ,           0.0 ,         132.0 , 176.85
 17 ,UTE28  ,     1 ,           0.0 ,          20.0 , 373.45
 18 ,UTE29  ,     1 ,           0.0 ,          72.0 , 196.16
 19 ,UTE30  ,     1 ,           0.0 ,          24.0 , 780.0
 20 ,UTE32  ,     1 ,           0.0 ,          20.0 , 248.31
 21 ,UTE34  ,     1 ,           0.0 ,         206.0 , 197.85
 22 ,UTE35  ,     1 ,           0.0 ,         640.0 , 740.0
 23 ,UTE36  ,     1 ,           0.0 ,         338.0 , 131.44
 24 ,UTE37  ,     1 ,           0.0 ,           0.0 ,  43.02
 25 ,UTE38  ,     1 ,           0.0 ,           0.0 ,  53.1
 26 ,UTE39  ,     1 ,           0.0 ,           0.0 ,  53.1
 27 ,UTE40  ,     1 ,           0.0 ,           0.0 ,  53.1
 28 ,UTE42  ,     1 ,           0.0 ,         327.0 , 118.51
 29 ,UTE43  ,     1 ,           0.0 ,         186.0 , 279.04
 30 ,UTE44  ,     1 ,           0.0 ,           0.0 ,  25.44
 31 ,UTE46  ,     1 ,           0.0 ,         176.0 , 171.19
 32 ,UTE48  ,     1 ,           0.0 ,         485.0 , 490.3
 33 ,UTE49  ,     1 ,           0.0 ,         175.0 , 626.78
 34 ,UTE50  ,     1 ,           0.0 ,         200.0 , 470.34
 35 ,UTE52  ,     1 ,           0.0 ,         169.0 , 626.79
 36 ,UTE53  ,     1 ,           0.0 ,         149.0 , 706.01
 37 ,UTE54  ,     1 ,           0.0 ,          87.0 , 213.84
 38 ,UTE55  ,     1 ,           0.0 ,         149.0 , 706.01
 39 ,UTE57  ,     1 ,           0.0 ,         168.0 , 608.7
 40 ,UTE58  ,     1 ,           0.0 ,         223.0 , 239.76
 41 ,UTE59  ,     1 ,           0.0 ,           0.0 ,  53.1
 42 ,UTE63  ,     1 ,           0.0 ,         226.0 , 299.99
 43 ,UTE64  ,     1 ,           0.0 ,         167.0 , 698.14
 44 ,UTE65  ,     1 ,           0.0 ,         255.0 ,   0.0
 45 ,UTE67  ,     1 ,           0.0 ,         171.0 , 622.1
 46 ,UTE69  ,     1 ,           0.0 ,         171.0 , 622.1
 47 ,UTE70  ,     1 ,           0.0 ,         166.0 , 626.77
 48 ,UTE71  ,     1 ,           0.0 ,           0.0 ,  53.1
 49 ,UTE73  ,     1 ,           0.0 ,         166.0 , 626.77
 50 ,UTE74  ,     1 ,           0.0 ,         138.0 , 299.99
 51 ,UTE83  ,     1 ,           0.0 ,         368.0 , 314.63
 52 ,UTE84  ,     1 ,           0.0 ,         347.0 , 732.99
 53 ,UTE86  ,     1 ,           0.0 ,         500.0 , 142.25
 54 ,UTE90  ,     1 ,           0.0 ,         929.0 , 388.48
 55 ,UTE93  ,     1 ,           0.0 ,         347.0 , 915.17
 56 ,UTE94  ,     1 ,           0.0 ,           0.0 , 744.36
 57 ,UTE96  ,     1 ,           0.0 ,         533.0 ,  70.16
 58 ,UTE98  ,     1 ,           0.0 ,         201.0 , 538.85
 59 ,UTE104 ,     1 ,           0.0 ,          28.0 , 178.43
 60 ,UTE106 ,     1 ,           0.0 ,          17.0 ,  60.0
 61 ,UTE107 ,     1 ,           0.0 ,           0.0 ,  50.0
 62 ,UTE108 ,     1 ,           0.0 ,          54.0 ,1148.68
