id  ,name  ,bus_id ,min_generation ,max_generation ,cost
  1 ,"1"   ,     1 ,        614.26 ,         640.0 ,  23.21
  2 ,"2"   ,     1 ,       1335.6  ,        1350.0 ,  20.12
  3 ,"3"   ,     1 ,          0.0  ,         344.0 ,  86.69
  4 ,"4"   ,     1 ,          0.0  ,          36.0 , 937.0
  5 ,"5"   ,     1 ,         62.87 ,         157.0 , 247.3
  6 ,"6"   ,     1 ,         23.53 ,          59.0 , 299.99
  7 ,"7"   ,     1 ,          0.0  ,          28.0 , 178.43
  8 ,"8"   ,     1 ,          0.0  ,         529.0 , 511.77
  9 ,"9"   ,     1 ,          0.0  ,          44.0 , 822.15
 10 ,"10"  ,     1 ,        232.9  ,         255.0 ,   0.0
 11 ,"11"  ,     1 ,        201.24 ,         235.0 , 142.82
 12 ,"12"  ,     1 ,        187.74 ,         321.0 , 220.92
 13 ,"13"  ,     1 ,         38.2  ,          65.0 , 300.0
 14 ,"14"  ,     1 ,          0.0  ,         572.0 , 399.02
 15 ,"15"  ,     1 ,          0.0  ,         140.0 , 877.87
 16 ,"16"  ,     1 ,          0.0  ,         226.0 , 299.99
 17 ,"17"  ,     1 ,          0.0  ,         131.0 , 645.3
 18 ,"18"  ,     1 ,          0.0  ,          87.0 , 213.84
 19 ,"19"  ,     1 ,          0.0  ,         204.0 , 216.1
 20 ,"20"  ,     1 ,        399.99 ,         400.0 ,  37.8
 21 ,"21"  ,     1 ,          0.0  ,         100.0 ,  58.89
 22 ,"22"  ,     1 ,          0.0  ,         200.0 , 102.84
 23 ,"23"  ,     1 ,          0.0  ,         127.0 , 289.96
 24 ,"24"  ,     1 ,          0.0  ,         176.0 , 730.2
 25 ,"25"  ,     1 ,          0.0  ,         200.0 , 470.34
 26 ,"26"  ,     1 ,          0.0  ,          30.0 , 523.35
 27 ,"27"  ,     1 ,          0.0  ,         436.0 , 310.41
 28 ,"28"  ,     1 ,          0.0  ,         500.0 , 142.25
 29 ,"29"  ,     1 ,          0.0  ,         134.0 , 143.49
 30 ,"30"  ,     1 ,          0.0  ,         216.0 , 299.99
 31 ,"31"  ,     1 ,        120.0  ,         340.0 , 678.04
 32 ,"32"  ,     1 ,          0.0  ,         929.0 , 388.48
 33 ,"33"  ,     1 ,        348.55 ,         770.0 , 168.44
