bus_id ,stage_index ,value
     1 ,          1 , 60.0
     1 ,          2 , 60.0
     1 ,          3 , 60.0
     1 ,          4 , 60.0
     1 ,          5 , 60.0
     1 ,          6 , 60.0
     1 ,          7 , 60.0
     1 ,          8 , 60.0
     1 ,          9 , 60.0
     1 ,         10 , 60.0
     1 ,         11 , 60.0
     1 ,         12 , 60.0
     2 ,          1 , 10.0
     2 ,          2 , 10.0
     2 ,          3 , 10.0
     2 ,          4 , 10.0
     2 ,          5 , 10.0
     2 ,          6 , 10.0
     2 ,          7 , 10.0
     2 ,          8 , 10.0
     2 ,          9 , 10.0
     2 ,         10 , 10.0
     2 ,         11 , 10.0
     2 ,         12 , 10.0
